Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Lenape C",285,0,13,1,160,12.31,Brick Memorial,165
"
Edison Academy B",210,0,9,0,120,13.33,Sayreville War Memorial A,115
"
Bergen Academies",225,1,9,0,120,12.00,Biotech D,140
"
East Brunswick",280,1,8,1,190,21.11,Colonia B,250
"
High Tech B (OT)",240,2,8,0,130,14.44,Lenape B,230
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Edison Academy A",525,6,11,1,330,19.41,Sayreville War Memorial A,0
"
Ranney",500,4,12,0,320,20.00,Lenape C,80
"
Biotech A",460,8,5,4,310,23.85,Egg Harbor Township,65
"
Lenape B",415,4,11,1,250,16.67,John F. Kennedy Memorial B,85
"
John F. Kennedy Memorial A",390,4,10,4,250,17.86,Lenape D,65
"
Biotech B",405,5,9,0,240,17.14,Colonia B,80
"
Bergen Academies",395,2,12,1,250,17.86,Shawnee B,150
"
Shawnee A",280,2,9,0,160,14.55,Biotech C,75
"
Brick Memorial",265,2,9,1,150,13.64,Academy of Allied Health and Science,95
"
High Tech B",285,2,8,1,180,18.00,Leonia B,155
"
Lenape A",265,0,10,1,170,17.00,Biotech D,155
"
Colonia A",110,1,7,1,30,3.75,Ocean Township,5
"
Jackson Memorial",175,1,9,2,80,8.00,Sayreville War Memorial B,100
"
High Tech A",320,4,7,2,200,18.18,Edison Academy B,245
"
East Brunswick",255,3,7,2,150,15.00,Manasquan,235
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech B",390,4,9,0,240,18.46,High Tech B,55
"
High Tech A",410,6,9,0,230,15.33,Lenape A,80
"
Lenape B",365,1,12,0,230,17.69,Colonia A,50
"
Ranney",365,5,8,2,220,16.92,East Brunswick,100
"
Biotech C",210,0,11,2,110,10.00,Ocean Township,20
"
Biotech A",400,9,3,1,240,20.00,Edison Academy A,210
"
Edison Academy B",230,3,8,1,110,10.00,Shawnee A,60
"
John F. Kennedy Memorial A",280,4,6,2,170,17.00,Leonia A,130
"
Bergen Academies",275,3,7,2,170,17.00,Lenape D,130
"
Sayreville War Memorial A",215,1,7,0,130,16.25,Manasquan,140
"
Shawnee B",175,1,8,2,90,10.00,Jackson Memorial,115
"
Colonia B",140,0,6,0,80,13.33,Sayreville War Memorial B,95
"
Academy of Allied Health and Science",200,2,7,0,100,11.11,Brick Memorial,180
"
John F. Kennedy Memorial B",170,3,5,1,80,10.00,Biotech D,165
"
Lenape C",Forfeit, , , , , ,Egg Harbor Township,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
John F. Kennedy Memorial A",390,2,13,2,240,16.00,Shawnee A,90
"
Lenape B",350,2,10,0,220,18.33,Lenape D,125
"
John F. Kennedy Memorial B",255,0,14,3,130,9.29,Colonia A,45
"
Brick Memorial",230,1,10,3,130,11.82,Leonia B,70
"
Shawnee B",195,1,8,0,100,11.11,Sayreville War Memorial B,45
"
Biotech B",285,2,10,1,160,13.33,Lenape A,135
"
Edison Academy A",305,4,8,1,170,14.17,Edison Academy B,175
"
Bergen Academies",220,1,8,1,130,14.44,Manasquan,105
"
Ranney",340,6,4,0,210,21.00,High Tech A,250
"
Biotech A",250,1,8,3,170,18.89,Leonia A,190
"
Academy of Allied Health and Science",180,1,7,1,100,12.50,Jackson Memorial,130
"
Colonia B",150,0,8,0,70,8.75,Ocean Township,105
"
East Brunswick",215,2,8,1,110,11.00,High Tech B,175
"
Biotech D",195,3,5,2,110,13.75,Lenape C,180
"
Sayreville War Memorial A",Forfeit, , , , , ,Egg Harbor Township,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech A",470,6,8,2,310,22.14,John F. Kennedy Memorial A,105
"
Ranney",400,6,6,0,250,20.83,Lenape A,185
"
Brick Memorial",250,2,10,2,130,10.83,Biotech C,35
"
Lenape D",175,0,9,1,90,10.00,Colonia A,50
"
Leonia A",235,0,11,3,140,12.73,Edison Academy B,110
"
Shawnee B",225,2,9,1,110,10.00,Academy of Allied Health and Science,125
"
Edison Academy A",265,3,6,4,180,20.00,Shawnee A,185
"
Biotech D",200,0,8,0,120,15.00,Sayreville War Memorial A,130
"
Lenape B",230,2,7,0,130,14.44,Manasquan,160
"
Leonia B",140,1,6,1,70,10.00,Jackson Memorial,75
"
Biotech B",220,2,7,4,140,15.56,East Brunswick,185
"
John F. Kennedy Memorial B",180,1,9,1,80,8.00,Lenape C,150
"
High Tech B",225,2,7,1,130,14.44,High Tech A,210
"
Ocean Township (OT)",95,0,7,1,30,5.00,Sayreville War Memorial B,85
"
Bergen Academies",Forfeit, , , , , ,Egg Harbor Township,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Edison Academy A",420,4,10,0,260,18.57,John F. Kennedy Memorial A,120
"
Biotech A",355,7,5,4,220,18.33,Edison Academy B,70
"
Bergen Academies",310,3,9,1,180,15.00,Colonia A,40
"
Ranney",385,4,8,1,250,20.83,High Tech B,135
"
High Tech A",300,5,7,3,170,14.17,Biotech B,165
"
Jackson Memorial",140,2,7,4,60,6.67,Biotech C,60
"
Colonia B",185,1,8,0,90,10.00,Brick Memorial,110
"
Lenape A",230,2,8,0,120,12.00,East Brunswick,170
"
Academy of Allied Health and Science",95,0,6,3,50,8.33,Leonia B,80
"
Lenape B",225,3,6,2,130,14.44,Biotech D,220
"
Lenape D",165,0,7,1,100,14.29,Manasquan,160
"
Leonia A",Forfeit, , , , , ,Shawnee A,Forfeit
"
Lenape C",Forfeit, , , , , ,Egg Harbor Township,Forfeit
"
John F. Kennedy Memorial B",Forfeit, , , , , ,Sayreville War Memorial A,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ranney",415,5,8,0,260,20.00,Biotech B,220
"
High Tech B",295,4,9,1,150,11.54,Lenape A,110
"
John F. Kennedy Memorial A",245,5,4,4,150,16.67,Edison Academy B,145
"
High Tech A",270,5,4,5,180,20.00,East Brunswick,205
"
Leonia A",n/a,0,n/a,0,n/a,n/a,Edison Academy A,n/a
"
Biotech A",Forfeit, , , , , ,Shawnee A,Forfeit
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech A",390,6,5,2,260,23.64,Ranney,310
